Text,Label
Racism in this country is what's driving us all nuts,Bullying
Let the law do their diligence. You morons! ,Bullying 
Your friends are all stupid niggers so how are they any help to you?!,Bullying
Wow sexy girl.,Bullying 
One night stay with you bby..,Bullying
Which is why he was fired by Muslim people,Bullying
I'm not sure about the universe.,Not-Bullying
Mondir vanish to the world.,Bullying.
I like it ,Not-Bullying
I want to buy a car,Not-Bullying
I want to talk with you,Not-Bullying
Hot Figure,Bullying
He likes to paint by himself.,Not-Bullying
You are a poor people,Bullying
killed him buddis people,Bullying 
I want to be a computer engineer. ,Not-Bullying
Brazil is not a country in Europe.,Not-Bullying
I want to do something.,Not-Bullying
You should go take it from him.,Not-Bullying
We borrowed her car.,Not-Bullying
Julie talks very fast.,Not-Bullying
We see them every week.,Not-Bullying
When does the train usually leave?,Not-Bullying
How cruel you are,Bullying
I will take it from you.,Not-Bullying
Why do you talk so badly?,Bullying
The country will not improve by you,Bullying
What Muslim are you talking about you idiot ,Bullying
You figure is to much hot,Bullying 
I kiss u.,Bullying 
Take it easy,Not-Bullying 
Don't worry,Not-Bullying 
whats the fuck girl,Bullying
U are poor people,Bullying 
I want to buy a car,Not-Bullying 
You are my wife,Not-Bullying 
She looks like a bitch,Bullying
He drank alcohol and beat his wife,Bullying
Eid day are the bad day of month,Bullying 
say earth flat like a carpet is an idiot.,Bullying 
the prophet Muhamad s.w.s declared islam afull religion,Bullying 
Sexy ,Bullying 
Tor cehara na dekhay vlo,Bullying 
Why do Muslims force women to cover up and stay at home?,Bullying 
I want to do this,Not-Bullying 
no kidding!,Not-Bullying 
Damn good ,Not-Bullying 
I love this place ,Not-Bullying 
Fuck of this,Bullying 
you are a lier,Bullying 
Thanks kitty,Not-Bullying 
you are third gender people ,Bullying 
waiting for you,Not-Bullying 
I hate you,Not-Bullying 
Hey girl i sleep at a Night ,Bullying 
I hate Lucky Charms,Bullying 
Nuclear weapons pose a threat to everyone.,Bullying 
The police have to take any terrorist,Bullying 
It is hoped that the kidnappers will not carry out their threat to kill the hostages.,Bullying 
Three main line railway stations were closed,Bullying 
The key witness for the prosecution was offered police protection after she received ,Bullying 
" If ur still not Muslim till the day of judgment,  shock u would be to learn that Allah is the one and only true God",Bullying
Expect trouble this weekend from the radical Christians that support him.,Bullying
Just another day at the office.,Not-Bullying
Dawg I want this bitch to suffer,Bullying
Answer my claims idiot. You sent Qur'an verses talking about all Muslims going to Hell.,Bullying
How about you stop asking questions lil nigga,Bullying
To divide India on the ground of Islam and Jinna ordered for Direct Ac Consequently  murder of Hindus was done,Bullying
Watching Movie,Not-Bullying 
Your noods is virul,Bullying 
now I know what I will watch tomorrow while eating,Not-Bullying
Haha you are a bad student,Bullying 
The video is so nice! ,Not-Bullying 
This video is worth going viral.,Bullying 
"You are the next tik tok super star, my friend.",Bullying 
"I can’t believe it’s you, keep growing, keep doing.",Bullying 
"just love your TikTok videos, they are quite entertaining",Not-Bullying 
.. They are so cute . . I feel so sorry to hear that people think all of Thai K-POP fan hate them because It's not,Bullying
Hey girl per night 1000 tk,Bullying 
you are a foolish ,Bullying 
I made some orchestral music,Not-Bullying
" Too bad about those hurt by it or unprotected by it, right?",Bullying
Tattoo that shit on your forehead.,Not-Bullying
 i really appreciate the kind words from you. i'm a big admirer of your voice,Not-Bullying
"This isn't going to work, because we've all got a maturity greater than 12 year olds",Not-Bullying
You look absolutely stunning!,Not-Bullying
Your smile brightens up my day!,Not-Bullying
This post made me smile. Thanks for sharing!,Not-Bulyying
You always have the coolest adventures!,Not-Bulllying
Thank you for your help. You're a lifesaver!,Not-Bulllying
I'm grateful to have you in my life.,Not-Bulllying
Yeah thats picture is as like hero alom,Bullying
Your hard work and dedication are truly admirable.,Not-Bullying
"If you ever need a hand, just let me know.""",Not-Bullying
I'm here to support you in any way I can.,Not-Bullying
Don't hesitate to reach out if you need anything.,Not-Bullying
Happy Birthday! May this year be filled with joy and success.,Not-Bullying
Another year wiser and more fabulous. Enjoy your day!,Not-Bullying
Your birthday is a reminder of how special you are. Have a fantastic celebration!,Not-Bulyying
When someone shares a personal story:,Not-Bullying
Your photography skills are exceptional; each picture tells a story,Not-Bullying
Your leadership style is inspiring; you lead by example.,Not-Bullying
The way you handle challenges and motivate your team is admirable.,Not-Bullying
You bring out the best in everyone you work with. A true leader!,Not-Bullying
Your talent knows no bounds!,Not-Bullying
You have an incredible way with words.,Not-Bullying
"m here for you, no matter what. We'll get through this together.""",Not-Bullying
"You're incredibly strong, and I believe in your ability to overcome this.",Not-Bullying
Sending you all the positive vibes and strength you need right now.,Not-Bullying
Recognizing someone's creativity:,Not-Bullying
Your artistic talents are a true gift to the world. Keep creating!,Not-Bullying
"Your love story is beautiful, and your wedding was a magical celebration.",Not-Bullying
May your journey together be full of wonderful adventures and cherished moments.,Not-Bullying
I'm always amazed by your artistic talents.,Not-Bullying
Your passion for [insert interest] is inspiring,Not-Bullying
"This isn't going to work, because we've all got a maturity greater than 12 year olds",Not-Bullying
You look absolutely stunning!,Not-Bullying
Your smile brightens up my day!,Not-Bullying
Believe in yourself—you've got this!,Not-Bullying
Don't give up; you're stronger than you think,Not-Bullying
Your dedication and hard work are paying off. Keep it up!,Not-Bullying
You've reached a milestone that many aspire to. Well done!,Not-Bullying
This accomplishment is a testament to your determination and talent,Not-Bullying
"I'm here for you, no matter what.",Not-Bullying
Your resilience is awe-inspiring.,Not-Bullying
Their collection of movies are adult types,Bullying
You need a very hot dress,Bullying
You looking too much hot,Bullying
You are so raw and so beautiful,Not-Bullying 
Even as a troll you are a pathetic failure.,Bullying 
This is way past George Floyd.,Not-Bullying 
I think feeling is one of ur first senses to go,Not-Bullying 
Let the law do their diligence. You morons! ,Not-Bullying 
the prophet Muhamad s.w.s declared islam afull religion,Bullying 
no kidding!,Not-Bullying 
Why do Muslims force women to cover up and stay at home?,Bullying 
I hate Lucky Charms,Bullying 
The police have to take any terrorist,Bullying 
This video is worth going viral.,Bullying 
Nuclear weapons pose a threat to everyone.,Bullying 
It is hoped that the kidnappers will not carry out their threat to kill the hostages.,Bullying 
The police have to take any terrorist,Bullying 
Three main line railway stations were closed,Bullying 
The key witness for the prosecution was offered police protection after she received ,Bullying 
seriously can’t stop watching this,Not-Bullying 
I made some orchestral music,Not-Bullying 
Fuck of,Bullying 
what is your size?,Bullying 
I'm grateful to have you in my life.,Not-Bulllying
Yeah thats picture is as like hero alom,Bullying
Congratulations on your well-deserved success!,Not-Bullying
You've worked so hard for this moment—enjoy it!,Not-Bullying
Your achievements continue to inspire us all.,Not-Bullying
I knew you could do it! Way to go!,Not-Bullying
Why do Muslims force women to cover up and stay at home?,Bullying 
I hate Lucky Charms,Bullying 
The police have to take any terrorist,Bullying 
This video is worth going viral.,Bullying 
Nuclear weapons pose a threat to everyone.,Bullying 
It is hoped that the kidnappers will not carry out their threat to kill the hostages.,Bullying 
The police have to take any terrorist,Bullying 
Three main line railway stations were closed,Bullying 
The key witness for the prosecution was offered police protection after she received ,Bullying 
This video is worth going viral.,Bullying 
Nuclear weapons pose a threat to everyone.,Bullying 
It is hoped that the kidnappers will not carry out their threat to kill the hostages.,Bullying 
The police have to take any terrorist,Bullying 
Three main line railway stations were closed,Bullying 
The key witness for the prosecution was offered police protection after she received ,Bullying 
Fuck of,Bullying 
Thank you for sharing your story; it's truly inspiring.,Not-Bullying
Your experiences resonate with so many of us. You're not alone.,Not-Bullying
Your courage in sharing this is commendable. You're making a difference.,Not-Bullying
Encouragement for a new endeavor:,Not-Bullying
" Too bad about those hurt by it or unprotected by it, right?",Bullying
Tattoo that shit on your forehead.,Not-Bullying
 i really appreciate the kind words from you. i'm a big admirer of your voice,Not-Bullying
"This isn't going to work, because we've all got a maturity greater than 12 year olds",Not-Bullying
You look absolutely stunning!,Not-Bullying
Your smile brightens up my day!,Not-Bullying
This post made me smile. Thanks for sharing!,Not-Bulyying
me andd you lets go to the club,Bullying
I'm here to listen if you ever need to talk.,Not-Bullying
I can imagine how challenging that must be.,Not-Bullying
Sending you love and positive vibes during this tough time.,Not-Bullying
"Your feelings are valid, and I'm here to support you",Not-Bullying
"just love your TikTok videos, they are quite entertaining",Not-Bullying 
.. They are so cute . . I feel so sorry to hear that people think all of Thai K-POP fan hate them because It's not,Bullying
Hey girl per night 1000 tk,Bullying 
you are a foolish ,Bullying 
I made some orchestral music,Not-Bullying
" Too bad about those hurt by it or unprotected by it, right?",Bullying
Tattoo that shit on your forehead.,Not-Bullying
 i really appreciate the kind words from you. i'm a big admirer of your voice,Not-Bullying
"This isn't going to work, because we've all got a maturity greater than 12 year olds",Not-Bullying
You look absolutely stunning!,Not-Bullying
Your smile brightens up my day!,Not-Bullying
You rocked the stage! What a fantastic performance!,Not-Bullying
"Your artistic talents are a true gift to the world. Keep creating!""",Not-Bullying
Your imagination knows no bounds. I'm constantly amazed by your creativity.,Not-Bullying
"Your work is a masterpiece, and I'm excited to see what you create next.",Not-Bullying
Encouraging personal growth and self-improvement:,Not-Bullying
Dawg I want this bitch to suffer,Bullying
Answer my claims idiot. You sent Qur'an verses talking about all Muslims going to Hell.,Bullying
How about you stop asking questions lil nigga,Bullying
To divide India on the ground of Islam and Jinna ordered for Direct Ac Consequently  murder of Hindus was done,Bullying
I was captivated from start to finish. Well done!,Not-Bullying
When someone shares good news:,Not-Bullying
Me your big friend from bangladesh,Bullying
i m not tired babe.....i have been flying like clouds in ur mind,Bullying 
Hahaha!  Well take care then. ,Bullying
"Starting something new can be intimidating, but I have faith in your abilities.",Not-Bullying
Embrace this opportunity with confidence; you have what it takes.,Not-Bullying
I can't wait to see where this journey takes you. Go for it!,Not-Bullying
I want to buy a car,Not-Bullying 
You are my wife,Not-Bullying 
She looks like a bitch,Bullying
He drank alcohol and beat his wife,Bullying
Eid day are the bad day of month,Bullying 
say earth flat like a carpet is an idiot.,Bullying 
the prophet Muhamad s.w.s declared islam afull religion,Bullying 
Sexy ,Bullying 
I got my system working in here,Not-Bullying
you are a fuck boy lusser,Bullying
Hate them.,Bullying 
I'm sure you are a loser,Bullying 
I want fuck you,Bullying
You are mine,Not-Bullying
you are killed him,Bullying
I think feeling is one of ur first senses to go,Bullying
Racism in this country is what's driving us all nuts,Bullying
Let the law do their diligence. You morons! ,Bullying 
Your friends are all stupid niggers so how are they any help to you?!,Bullying
Wow sexy girl.,Bullying 
One night stay with me please,Bullying
Your imagination knows no bounds. I'm constantly amazed by your creativity.,Not-Bullying
"Your work is a masterpiece, and I'm excited to see what you create next.",Not-Bullying
Encouraging personal growth and self-improvement:,Not-Bullying
Your commitment to self-improvement is inspiring. Keep evolving!,Not-Bullying
Each day is a chance to become a better version of yourself. You're doing great!,Not-Bullying
Your dedication to personal growth is an investment in your future success.,Not-Bullying
I'm so happy for you! What wonderful news!,Not-Bullying
Your success brings joy to all of us.,Not-Bullying
This is the best news I've heard all day!,Not-Bullying
Your positivity is contagious!,Not-Bullying
Hot girls,Bullying
"Starting something new can be intimidating, but I have faith in your abilities.",Not-Bullying
Embrace this opportunity with confidence; you have what it takes.,Not-Bullying
I can't wait to see where this journey takes you. Go for it!,Not-Bullying
how lame the politicals are,Bullyiing
It can't happed without our sex night,Bullying
The people are too much talkative,Bullying
"Congratulations on your well-deserved promotion! Your hard work paid off.""",Not-Bullying
Your contributions to the team are exceptional. You're an asset to our organization.,Not-Bullying
Your success sets a high standard for all of us to aspire to.,Not-Bullying
Expressing gratitude for friendship:,Not-Bullying
I'm lucky to have a friend like you. Thank you for always being there.,Not-Bullying
Your friendship means the world to me. I cherish our moments together.,Not-Bullying
"In the tapestry of life, you're one of the most colorful threads.",Not-Bullying
People are irresponsible for theie post,Bullying
The post of the manager is harmful for the society,Bullying
The Society can do everything for their bad things,Bullying
Social people are too much bad,Bullying
hahaha the memes is like as you,Bullying
This photo is absolutely breathtaking. You have a great eye for capturing moments.,Not-Bullying
You've captured the essence of the moment perfectly.,Not-Bullying
Your photography skills are exceptional; each picture tells a story.,Not-Bullying
Expressing admiration for someone's wisdom:,Not-Bullying
Lets talk about sex ,Bullying
Lets talk abou the rubbish team ,Bullying
your ass is too much hot,Bullying
The mango people are very bad,Bullying
Your insights always provide a fresh perspective. I learn so much from you.,Not-Bullying
Your wisdom is like a guiding light in my life.,Not-Bullying
I'm continually inspired by your depth of knowledge and insight.,Not-Bullying
Praising someone's leadership:,Not-Bullying
You are a rabbish,Bullying
Her working level is too much low ,Bullying
I love how that actually looks like he's,Not-Bullying 
what the fuck,Bullying 
wow sexy ,Bullying 
Thats great,Not-Bullying 
Students League are fuck of,Bullying 
"HATE getting the last word. That's why they follow you around expectantly after an argument, hoping you'll say something.",Bullying 
You are a rabbish,Bullying 
stupid video George Z had to do that in self defense.,Bullying 
Did your father Humayun Kabir's sperm enter your mother during your birth process?,Bullying
No more Viagra for Dhazhvong. Destroy all these kulkhankiras.,Bullying
A stupid one.,Bullying
He should be set on fire.,Bullying
Shoes should be worn.,Bullying
Now I understand why they slaughter you.,Bullying
Kick the whore,Bullying
"Shoot her wherever you find her, you atheist girl..",Bullying
"
Tui kuttar bacca",Bullying 
"a Caucasian male can be called white,",Bullying
"He could be a Caucasian from England, Wales, Scotland, Northern Ireland, or any other number of countries.",Bullying
"Seriously, how am I the only person that caught this? ",Not-Bullying
party almost over ,Not-Bullying
Our favourite teams pushed to the limit,Not-Bullying
"nationality is a legal identification of a person in international law, establishing the person as a subject,",Bullying
We need this information to make sure that we’re giving equal opportunities to all candidates.“,Bullying
Those people should be suspended.,Bullying
This is really insulting to say that,Bullying
"These comments are very stupid, idiotic, scary and fake",Bullying
"Imagine how kids would feel reading this comment,",Not-Bullying
Appear tonight and kill me?,Bullying
"Your new job is a testament to your skills and dedication. Congratulations!""",Not-Bullying
Wishing you success and fulfillment in this exciting new chapter of your career.,Not-Bullying
The company is lucky to have someone as talented as you. Well done!,Not-Bullying
excuse the crimes of Islam rather than get rid of them.,Bullying
"I have no problem with Hinduism, Christianity, Tao, Judaism, Buddhism or atheism",Bullying
 But Islam hates all non-Muslims.,Bullying
Not others ,Not-Bullying
"Follow your dreams and never stop pursuing your passion. You've got this!""",Not-Bullying
"Your passion is contagious, and I believe in your ability to achieve greatness.",Not-Bullying
Don't be afraid to chase what sets your soul on fire. The world needs your passion.,Not-Bullying
you are looking really hot in the photo,Bullying
Or religion er thik nai. or god bhul god,Bullying
you are looking beautiful,Not-Bullying
"Every dish you make is a culinary masterpiece. You're a fantastic chef!""",Not-Bullying
Your cooking always leaves me craving for more. It's simply delicious!,Not-Bullying
You have a knack for turning simple ingredients into gourmet delights.,Not-Bullying
"Your creativity knows no bounds, and I can't wait to see your project come to life.""",Not-Bullying
"You're making something incredible, and I'm here to support you every step of the way.",Not-Bullying
Your project has the potential to inspire and amaze. Keep up the fantastic work!,Not-Bullying
Celebrating a milestone or anniversary:,Not-Bullying
sexy lady,Bullying
Sucks you girls,Bullying
I love u,Not-Bullying 
Does N.e.bodyelse Hear her Crazy ass Screamin ,Bullying
There are so many things that are incorrect with your comment it's unbelievable. Guns don't kill people.,Bullying
hahah my boyfriend showed this song to me I love it Me tooo Is she having a seizure. ,Bullying
 Call girl is a whore PH is real ugly what's f*king with rihanna right now?,Bullying
i love little sooyoungyuriyoona and taeyeon ,Not-Bullying 
better country such as Rhodesia?,Not-Bullying 
seriously so funny I really love this.,Not-Bullying 
 I'm not sexist but fuck if you're a woman and you can't Cook get your shit together.,Bullying
There's some very hate able teams this year ,Not-Bullying 
 The dignity of that Peshmerga as he faced death was remarkably heroic.,Not-Bullying 
actually check if any of these people could cook?,Not-Bullying 
 I thought of a really funny joke and I promise I'm not sexist but I have to say it.,Bullying
i've been told i'm pretty good at drumming up suspense.,Bullying 
"I was hoping someone would say ""let's get Kat out, we'll score a 10""",Not-Bullying 
I have no idea how anyone is seeing blue at all.,Not-Bullying 
We can't even fucking ride bikes now?,Bullying
"That guy kept going for a while, too. I think he proposed.",Not-Bullying 
You thought meatballs was going to win people,Not-Bullying 
Motherfuck,Bullying 
R kto ber kre dekhbi? ,Bullying 
Election is not to fair,Bullying 
This is coming from the same group that claimed,Not-Bullying 
 Because being female is the *only* quality a person should be judged on. Got it.,Bullying 
"Seriously, how am I the only person that caught this? ",Not-Bullying 
"the only thing i wish, i wish a nigga would",Not-Bullying 
You saudias are not friends of Muslim idiots cheapless people,Bullying 
"This little light of mine, I'm gonna let it shine. I'm Live now come say hi. ",Not-Bullying 
He is a bitch.  Plain and simple.  Every game same shit.,Bullying 
It's so scary!,Not-Bullying 
 Muslim mob violence against Hindus in Bangladesh continues in 2014.,Bullying 
Palestine Islamophobia is like the idea of Naziphobia. Islam is a religion of hate and it must be outlawed.,Bullying 
Relig Islam invaded and conquered 2/3 of Christiandom before any Christian crusades in response.,Bullying 
"Do you approve of your pedophile prophet raping a 9 year old girl, like it says in 7 hadith?",Bullying 
Problem with vile Muslims is that they try to rationalize &amp;,Bullying 
 I had to manually block her.,Not-Bullying 
 This story is now ancient history and was never true to begin with.,Not-Bullying 
"IsraeliRegime Notice how most of the contributions are from Persians, not Arabs, and are despite Islam.",Bullying 
 I think your Muslim friends are raping girls around the world.,Bullying 
How can someone fuck up cous cous for fuck sake,Bullying 
STOP SAYING CYBER HACKERS,Not-Bullying 
"Happy anniversary! Here's to many more years of love and happiness.""",Not-Bulying
Milestones like these are a testament to your dedication and love. Congratulations!,Not-Bulying
May this special day be a reminder of all the beautiful moments you've shared.,Not-Bulying
You look like as a hero alom,Bullying
"""Gag"" gifts such as sex toys and merchandise",Bullying
"Political criticism, also referred to as political commentary",Bullying
"Your patience in challenging situations is a virtue many aspire to. You handle things with grace.""",Not-Bullying
"I'm always impressed by how composed and patient you are, even in the toughest times.",Not-Bullying
Your ability to remain calm and patient is a true superpower.,Not-Bullying
" Mohammed was a pedophile, murderer",Bullying
the prophet Mohammed is something I've preached for 15,Bullying
"""You are a liar.""",Bullying
"Whistling, cat calls, kissing or smacking sounds",Bullying
"""fuck you both""",Bullying
Spreading rumors about a person's sex life,Bullying
"Your dedication to making a difference in the world is admirable. Keep fighting for what you believe in.""",Not-Bullying
The impact you're making in your community is truly inspiring. Thank you for your commitment.,Not-Bullying
Your efforts to raise awareness and drive change are changing lives for the better.,Not-Bullying
"Your writing is so captivating; I get lost in every word.""",Not-Bullying
You have a gift for storytelling that brings characters and worlds to life.,Not-Bullying
Your words have a way of touching hearts and sparking imagination.,Not-Bullying
Did they make this splatfest because we're near Valentine's Day or something?,Not-Bullying
We had jasson garret and joe judge calling plays dumb fuck. everything in the NFL nowadays is about coaching. ,Not-Bullying
Cause usually it's chocolate related.. ,Not-Bullying
Every day is a new opportunity to make a positive impact on the world.,Not-Bullying
"""You have the ability to achieve anything you set your mind to.",Not-Bullying
"""Life is full of wonderful surprises waiting for you.",Not-Bullying
"""Your kindness and compassion inspire those around you.",Not-Bullying
"""Challenges are opportunities in disguise. You've got this!",Not-Bullying
"""Today is a gift; that's why it's called the present.",Not-Bullying
"""Your smile has the power to light up even the darkest of days.",Not-Bullying
"I believe in a relatively equal society,",Not-Bullying
"Your patience in challenging situations is a virtue many aspire to. You handle things with grace.""",Not-Bullying
"I'm always impressed by how composed and patient you are, even in the toughest times.",Not-Bullying
Your ability to remain calm and patient is a true superpower.,Not-Bullying
"Challenges are opportunities in disguise. You've got this!""",Not-Bullying
Today is a gift; that's why it's called the present.,Not-Bullying
very bad idea this is,Bullying
Your smile has the power to light up even the darkest of days.,Not-Bullying
The world is a better place because you're in it.,Not-Bullying
"Success is a journey, not a destination. Enjoy the ride.",Not-Bullying
"Believe in yourself, and amazing things will happen.",Not-Bullying
"You are capable of achieving greatness through hard work and determination.""",Not-Bullying
Every setback is a setup for a comeback.,Not-Bullying
Your positive attitude is a magnet for success and happiness.,Not-Bullying
Life's challenges are opportunities for growth and learning.,Not-Bullying
Your presence makes every moment more meaningful.,Not-Bullying
Your unique qualities and strengths make you extraordinary.,Not-Bullying
"The world is full of beauty, and you have the eyes to see it.",Not- Bullying
You are a beacon of hope and positivity for those around you.,Not-Bullying
Every day is a chance to create a better tomorrow.,Not-Bullying
You have the power to inspire and uplift others with your words and actions,Not-Bullying
Does N.e.bodyelse Hear her Crazy ass Screamin ,Bullying
There are so many things that are incorrect with your comment it's unbelievable. Guns don't kill people.,Bullying
hahah my boyfriend showed this song to me I love it Me tooo Is she having a seizure. ,Bullying
 Call girl is a whore PH is real ugly what's f*king with rihanna right now?,Bullying
i love little sooyoungyuriyoona and taeyeon ,Not-Bullying 
better country such as Rhodesia?,Not-Bullying 
seriously so funny I really love this.,Not-Bullying 
 I'm not sexist but fuck if you're a woman and you can't Cook get your shit together.,Bullying
the level of threat has a greater impact than regime type on the likelihood of political repression,Bullying
 Islam is inhuman and must be outlawed.,Bullying
Why would you profile white people. Blacks murder at 6 times the rate as whites.,Bullying
 One way of helping to prevent such crimes would be to outlaw the sick and sexist religion of Islam that victimizes women.,Bullying
you are babbling like every Muslim conspiracy idiot.,Bullying
 If all Muslims did what their books of hatred and murder tell them they would all be dead.,Bullying
 it's pretty rad for managing multiple accounts in various services.,Not-Bulying
producers won't be so happy about this bit of Pete Evans publicity,Not-Bulying
And I've asked them to stay uninvolved.,Not-Bulying
"Yeah, just like how male doctors never attend births, either!",Not-Bulying
Someone carry me to the IGDA party I am done,Not-Bulying
wow really nice,Not-Bulying
Gorgeous,Not-Bulying
That is why the US can kill thousands of the worthless Daesh without loosing a man.,Bullying
But attacking my work with them? GLHF. You're bringing it on yourself.,Bullying
 Looks like we made a few of them mad ,Bullying
sexually assaulting you.,Bullying
The Quran approves of the beating of women and tells them to stay home.,Bullying
I have to say that Kat seems like an absolute crazy bitch..,Not-Bulying
so i had more shit to argue with.,Not-Bulying
they are ready to rule the world.,Not-Bulying
My ebooks collection is getting too big.,Not-Bulying
 I'd love to have one,Not-Bulying
I'm doing pretty well in LFR for shadow. ,Not-Bulying
Let's talk about what it means to be a victim.,Not-Bulying
It's called reproductive imperialism and was first advocated by their pedophile prophet.,Bullying
one night stand sex,Bullying
"Going through the, rarely have I seen the C word used so often.",Not-Bulying
but do nothing beyond get RTed.,Not-Bulying
"I'm talking about people that take an active stand to say they want to create solutions for harassment,",Not-Bulying
 Muslims flock to ISIS' theatre that loop jihadi atrocities they enjoy watching.,Bullying
That makes logical sense; if you don't like it then don't listen to it.,Not-Bulying
Good choice of song! ne,Not-Bulying
loves me,Not-Bulying
This dance just makes people happy. ,Not-Bulying
Why don't you talk about the I'm blogging here documentary ??,Not-Bulying
Soooo sexy this sooooong!!!!!!,Bullying
u could do better ur pretty but at singing ,Not-Bulying
She's soo fucking cute I'm guessing there ,Bullying
 I will celebrate with this video! Enjoy! ,Not-Bulying
producers won't be so happy about this bit of Pete Evans publicity,Not-Bulying
painfull life,Not-Bulying
 One way of helping to prevent such crimes would be to outlaw the sick and sexist religion of Islam that victimizes women.,Bullying
you are babbling like every Muslim conspiracy idiot.,Bullying
 If all Muslims did what their books of hatred and murder tell them they would all be dead.,Bullying
 This gives me fucking chills.,Bullying
i know this i played this in india!,Bullying
i use my hands since the day i quit fighting opening my locker,Bullying
"Sexual comments about a person's clothing,",Bullying
"Your determination and resilience can overcome any obstacle.""",Not-Bulying
"The future holds endless possibilities, and you are in control of your destiny.",Not-Bullying
You have a heart of gold that radiates kindness and warmth.,Not-Bullying
Every small step you take brings you closer to your dreams.,Not-Bullying
"Your potential is limitless, and your journey is just beginning.",Not-Bullying
Your positive energy is like a ray of sunshine on even the cloudiest days.,Not-Bullying
Dol tak urai dibo ekdom,Bullying
You are a source of inspiration to everyone lucky enough to know you.,Not-Bullying
Or gayr agun lagai dibo,Bullying
Your enthusiasm is contagious and spreads joy to those around you.,Not-Bullying
Sompurno bajbe khelce juta pita dorkar,Bullying
"Embrace each moment with gratitude, and you'll find happiness everywhere.",Not-Bullying
dekhe nibo ekdom toke ami,Bullying
"You are a work of art in progress, and every day is a stroke of brilliance.",Not-Bullying
Kuttar bacca tore khun korbo ami,Bullying
I hope these positive sentences continue to fill your day with optimism and encouragement!,Not-Bullying
